name,phe,keyword
Butterpilz Konzentrat,406,mushroom
Edel-Reizker roh,12,kirsche
Hallimasch roh,150,mushroom
Hallimasch Konzentrat,443,kirsche
Pfifferling,128,mushroom
Pfifferling roh,65,mushroom
Rotkappe roh,59,kirsche
Steinpilz roh,100,mushroom
Shiitakepilz roh,79,mushroom
Waldpilze,150,mushroom
Austernpilz roh,100,mushroom
Bierhefe,2257,organic-food
Bierhefe Tabletten,2257,organic-food
Hefe Flocken,2053,bayerische-brezel
Pflanzenfleisch ohne Soja Trockenprodukt,1079,vegetarisches-essen
Hefeextrakt (Hefeaufstrichpaste),157,organic-food
Champignonsuppe Trockenprodukt,482,organic-food
Champignoncremesuppe Trockenprodukt,482,organic-food
Steinpilzsuppe Trockenprodukt,482,soup-plate
Champignoncremesuppe Konserve,26,organic-food
Pilzsoße Konserve,72,sauce-bottle
